epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9343,1.60064,1.71398,0.66465,1.47485,2.09438,0.10864,0.6506,0.10207,0.03211,0.14743,0.86145,0.14934,0.1298,2.11352,0.67567,0.40528,12.0088,3.74495,0.000648649,0.000648649,0.000648649
2,50.2605,1.39706,0.86266,0.53964,1.27638,1.89431,0.25985,0.62651,0.2847,0.06036,0.50074,0.68072,0.55541,0.38569,2.86702,1.38012,0.21734,3.05931,4.56973,0.00131097,0.00131097,0.00131097
3,62.5012,1.38737,0.67746,0.45393,1.32614,1.85137,0,0,0,0,0.035,0.04217,0.00286,0.00062,nan,nan,nan,nan,nan,0.0019689,0.0019689,0.0019689
4,74.7631,1.31096,0.62287,0.38899,1.29331,1.76371,0.11442,0.19277,0.05244,0.01178,0.23629,0.40072,0.19985,0.12333,3.26773,2.43373,0.07722,3.78009,4.45534,0.0019802,0.0019802,0.0019802
5,87.1404,1.1988,0.52876,0.33542,1.25127,1.68798,0.45889,0.6335,0.49091,0.20456,0.57251,0.6747,0.63075,0.53843,1.84975,0.75942,0.08826,3.0497,3.03349,0.0019736,0.0019736,0.0019736
6,99.7763,1.14108,0.50369,0.30024,1.20802,1.62782,0.8383,0.84322,0.88741,0.4079,0.9221,0.92697,0.96583,0.9074,1.67726,0.35521,0.06273,1.56978,2.65795,0.001967,0.001967,0.001967
7,112.407,1.19044,0.45711,0.29751,1.25027,1.67877,0.64333,0.76506,0.69722,0.33652,0.73454,0.90361,0.82854,0.74226,1.64258,0.44716,0.08671,2.17899,2.37454,0.0019604,0.0019604,0.0019604
8,125.084,1.10855,0.43131,0.26772,1.19109,1.58209,0.69987,0.81325,0.8428,0.32818,0.8094,0.84423,0.91482,0.87226,2.06396,0.31745,0.04216,1.85169,2.92787,0.0019538,0.0019538,0.0019538
9,137.964,1.06609,0.40741,0.26624,1.19903,1.5576,0.8288,0.83735,0.88923,0.37893,0.87906,0.88554,0.94405,0.85394,1.59474,0.42088,0.02925,1.64598,2.47392,0.0019472,0.0019472,0.0019472
10,150.841,1.02788,0.38459,0.24193,1.17229,1.52243,0.61054,0.68072,0.77508,0.34628,0.70036,0.84484,0.86301,0.73144,1.84694,0.45303,0.02894,1.71315,2.80898,0.0019406,0.0019406,0.0019406
11,163.648,0.97284,0.37182,0.23579,1.13208,1.50065,0.79876,0.8608,0.90134,0.3877,0.90305,0.95388,0.98038,0.96054,1.68443,0.18676,0.02774,1.33841,2.49178,0.001934,0.001934,0.001934
12,176.456,0.98264,0.33328,0.21803,1.14737,1.47545,0.53264,0.69277,0.59777,0.29577,0.5886,0.84465,0.65945,0.63423,1.51256,0.30825,0.04225,1.52273,2.25909,0.0019274,0.0019274,0.0019274
13,189.096,0.95526,0.32078,0.20811,1.14955,1.46973,0.83909,0.78313,0.89726,0.44949,0.86848,0.88554,0.96235,0.91834,1.49979,0.28954,0.0253,1.24228,2.27106,0.0019208,0.0019208,0.0019208
14,201.92,0.96768,0.3321,0.20041,1.09018,1.48785,0.84255,0.85542,0.88211,0.43998,0.96222,0.9759,0.99239,0.97682,1.49625,0.17767,0.02327,1.06066,2.24906,0.0019142,0.0019142,0.0019142
15,214.728,0.92705,0.29352,0.19867,1.08917,1.4424,0.8113,0.82882,0.85819,0.4446,0.95092,0.93372,0.98269,0.96276,1.38189,0.25101,0.01721,1.12201,2.16266,0.0019076,0.0019076,0.0019076
16,227.44,0.92366,0.30752,0.1897,1.07507,1.44083,0.80783,0.83735,0.83271,0.47452,0.9582,0.99398,0.99267,0.98319,1.31429,0.16557,0.02231,0.92511,1.99333,0.001901,0.001901,0.001901
