epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3928,0.35157,4.64962,0.70236,1.44631,1.11199,0.95167,0.81111,0.92734,0.78026,0.63456,0.6336,0.57846,0.17079,0.5704,3.72731,0.84981,1.06305,0.82372,0.00047092,0.00047092,0.00047092
2,82.517,0.28456,3.03168,0.64419,0.7472,1.01217,0.15023,0.41762,0.16294,0.0763,4e-05,0.01355,3e-05,0,1.259,7.98772,0.88895,3.10473,1.6326,0.000944128,0.000944128,0.000944128
3,112.128,0.29538,2.30583,0.58563,0.70435,1.01361,0.55588,0.78672,0.74505,0.51861,0.54139,0.78094,0.66103,0.32443,1.27669,2.40604,0.6287,2.63889,1.61193,0.00141419,0.00141419,0.00141419
4,143.057,0.26638,1.99405,0.53682,0.65408,0.98819,0.47162,0.56152,0.59337,0.56318,0.47162,0.56152,0.58736,0.3089,0.27914,1.79639,0.42165,1.25319,0.38437,0.00141485,0.00141485,0.00141485
5,173.532,0.23095,1.81829,0.49588,0.60604,0.96169,0.43924,0.63767,0.59577,0.5287,0.43924,0.63767,0.59558,0.41816,0.40277,1.08741,0.28061,1.3817,0.56986,0.00141014,0.00141014,0.00141014
6,203.503,0.22164,1.67928,0.45846,0.5906,0.96522,0.55672,0.87778,0.71032,0.6228,0.55181,0.8626,0.69141,0.42279,0.30693,1.50838,0.35007,0.57503,0.39875,0.00140542,0.00140542,0.00140542
7,234.188,0.20018,1.4782,0.42656,0.53451,0.94268,0.8967,0.65123,0.70072,0.67571,0.8967,0.65123,0.68879,0.5408,0.34599,0.87936,0.33649,0.65867,0.48838,0.00140071,0.00140071,0.00140071
8,264.799,0.18446,1.30781,0.40819,0.50138,0.93626,0.87404,0.82612,0.85327,0.78104,0.78276,0.77997,0.77059,0.45893,0.30184,1.22629,0.19303,0.5809,0.46008,0.00139599,0.00139599,0.00139599
9,295.298,0.18551,1.25662,0.37348,0.47686,0.93674,0.8815,0.80278,0.90978,0.82925,0.8815,0.80278,0.87798,0.57905,0.3358,1.11468,0.37382,0.67193,0.41664,0.00139127,0.00139127,0.00139127
10,325.638,0.1736,1.22333,0.35228,0.444,0.93406,0.92341,0.89935,0.92602,0.91121,0.92341,0.89935,0.92602,0.66545,0.24025,0.73897,0.22115,0.42093,0.335,0.00138656,0.00138656,0.00138656
11,356.161,0.16049,1.13604,0.33671,0.43366,0.92677,0.83195,0.84526,0.94706,0.89966,0.83195,0.84526,0.94706,0.66622,0.36802,0.82271,0.16938,0.63908,0.48369,0.00138184,0.00138184,0.00138184
12,386.572,0.15852,1.07383,0.31797,0.42643,0.92834,0.92073,0.97628,0.96623,0.95885,0.90918,0.96521,0.94767,0.69235,0.27079,0.78526,0.2756,0.3919,0.35612,0.00137713,0.00137713,0.00137713
13,417.018,0.15491,1.05416,0.3089,0.4076,0.92214,0.82378,0.89358,0.93958,0.90449,0.82378,0.89358,0.93958,0.59794,0.24194,0.9174,0.19044,0.55671,0.3606,0.00137241,0.00137241,0.00137241
14,447.375,0.15558,1.04443,0.29112,0.39549,0.91827,0.90606,0.91111,0.97747,0.91991,0.90606,0.91111,0.97747,0.73346,0.29968,0.65005,0.12718,0.61244,0.38982,0.0013677,0.0013677,0.0013677
15,477.863,0.14519,1.01924,0.28107,0.37305,0.9144,0.92235,0.94444,0.95266,0.90954,0.92235,0.94444,0.95266,0.70412,0.26499,0.80023,0.24185,0.37266,0.38648,0.00136298,0.00136298,0.00136298
